lat;lon
4.578096;-74.216416
4.578042;-74.216516
4.578346;-74.135729
8.550877;-72.934497
5.813176;-73.029385
4.788328;-74.042309
5.57179;-73.33412
4.622524;-74.106378
5.826157;-73.038982
5.537299;-73.358916
5.543004;-73.357278
5.530072;-73.368873
4.586165;-74.131812
4.622524;-74.106378
5.543465;-73.363257
5.545013;-73.348607
5.550028;-73.354248
5.813176;-73.029385
4.582593;-74.21998
5.811204;-73.020746
5.57068;-73.340667
5.823334;-73.04401
4.578346;-74.135729
5.813323;-73.017256
5.840433;-73.033798
5.812922;-73.023549
5.530998;-73.368998
5.530721;-73.361699
5.550893;-73.353959
5.829487;-73.023244
5.545049;-73.348681
4.578346;-74.135729
5.814363;-73.0304
5.563429;-73.337129
5.571705;-73.334301
5.541906;-73.361764
5.563248;-73.337189
5.530683;-73.306085
5.523149;-73.353853
4.795705;-74.048533
5.568811;-73.339869
5.563104;-73.337072
5.547059;-73.364406
5.835843;-73.027525
5.561139;-73.346497
5.826443;-73.038862
8.550862;-72.934534
4.586202;-74.13186
5.546523;-73.349597
5.832624;-73.025512
5.521476;-73.360129
5.832257;-73.039733
4.830601;-75.672461
5.544368;-73.358883
5.547572;-73.364411
5.833351;-73.028135
5.823228;-73.044141
5.833178;-73.034823
5.570082;-73.338373
5.831147;-73.039855
5.56784;-73.336001
5.561406;-73.346429
5.608874;-73.328901
5.544336;-73.357718
4.636852;-74.067528
5.545128;-73.360326
5.547193;-73.364364
5.533572;-73.367753
5.550156;-73.35414
5.833042;-73.039901
5.825511;-73.046487
5.823696;-73.037109
5.532365;-73.364507
5.525445;-73.369238
5.521275;-73.360214
5.531089;-73.361714
8.550862;-72.934534
5.82786;-73.037707
8.550893;-72.934434
5.83059;-73.033857
5.820933;-73.023559
5.810681;-73.020662
5.823648;-73.037115
5.548949;-73.350847
5.544549;-73.354454
40.275621;-3.743242
5.52631;-73.367724
5.543866;-73.357374
5.542414;-73.358448
5.544438;-73.358855
5.542574;-73.351261
5.547187;-73.3644
5.837503;-73.016953
5.834894;-73.037994
5.813776;-73.017317
5.811358;-73.020871
5.533561;-73.36771
5.533583;-73.367855
5.543834;-73.351232
5.533369;-73.36786
6.170993;-75.588861
5.544219;-73.358766
4.789333;-74.044606
5.832951;-73.034636
5.54471;-73.358862
5.832428;-73.039842
5.5688;-73.341385
5.840411;-73.033813
5.542638;-73.351476
5.823259;-73.043891
4.578346;-74.135729
5.545783;-73.34883
5.533326;-73.367808
5.809592;-73.025662
4.647597;-74.050473
5.57147;-73.333927
5.829407;-73.022982
5.551171;-73.354109
5.813691;-73.017276
5.811033;-73.020746
5.828146;-73.030763
5.529885;-73.368936
5.832837;-73.032324
5.83314;-73.031884
5.533348;-73.367777
5.832791;-73.035114
4.578346;-74.135729
5.832791;-73.035114
5.824249;-73.044426
4.578346;-74.135729
5.829123;-73.034186
5.821565;-73.042962
5.834047;-73.036509
4.578346;-74.135729
5.82774;-73.034692
8.550862;-72.934534
4.5781;-74.216581
5.822523;-73.023206
4.582737;-74.220099
5.524703;-73.369792
5.570557;-73.340762
5.544261;-73.358735
5.834129;-73.031852
5.529877;-73.35201
5.827671;-73.034744
5.832791;-73.035114
5.829052;-73.029127
4.791814;-74.047438
5.543813;-73.351194
5.52103;-73.360032
5.835929;-73.027861
5.832852;-73.032389
4.578346;-74.135729
5.829312;-73.034481
5.820933;-73.023559
5.835774;-73.0277
4.578346;-74.135729
5.840745;-73.033889
5.82564;-73.046508
5.529907;-73.368944
5.563237;-73.337134
5.525587;-73.369321
5.531153;-73.361771
8.550893;-72.934377
5.561417;-73.346607
5.524367;-73.364884
5.54455;-73.358936
5.57123;-73.340605
5.539499;-73.355246
5.832791;-73.035114
5.826259;-73.046557
5.568753;-73.340464
5.571529;-73.334673
5.55022;-73.354183
5.835849;-73.027925
5.833218;-73.034843
5.826622;-73.028451
5.53055;-73.361586
4.581651;-74.215882
5.53959;-73.355166
5.533369;-73.367839
5.834129;-73.031852
5.822054;-73.037548
4.581616;-74.215827
5.835838;-73.027893
5.809998;-73.024589
5.811183;-73.020383
5.813323;-73.017256
5.834129;-73.031852
5.829354;-73.034433
5.836142;-73.027689
5.546468;-73.349604
5.561246;-73.346551
5.568758;-73.340669
5.822822;-73.044174
5.812586;-73.02503
5.830059;-73.023276
5.829829;-73.030919
8.471433;-73.878544
5.834129;-73.031852
4.789162;-74.044423
4.578346;-74.135729
4.647209;-74.050356
4.578346;-74.135729
4.578346;-74.135729
4.578346;-74.135729
4.578346;-74.135729
7.13152;-73.123147
4.581629;-74.215849
4.604281;-74.09533
4.578346;-74.135729
4.578346;-74.135729
4.581626;-74.215857
5.813323;-73.017256
4.54468;-74.276111
4.789205;-74.044457
5.840283;-73.03399
4.578346;-74.135729
4.579788;-74.216545
4.578346;-74.135729
4.699749;-74.072176
5.827725;-73.034695
4.578346;-74.135729
5.570925;-73.335717
5.547155;-73.364176
5.543466;-73.351159
4.586183;-74.131828
4.586262;-74.131777
5.546255;-73.349375
4.586196;-74.131892
5.54194;-73.363102
5.552292;-73.357093
5.530362;-73.368793
5.547743;-73.364397
5.815844;-73.030527
5.53118;-73.36173
4.636826;-74.067508
4.578346;-74.135729
5.53354;-73.367963
5.550562;-73.354119
5.539675;-73.355239
5.561054;-73.346571
4.586225;-74.131792
5.533287;-73.358034
8.551907;-72.93681
8.550894;-72.934401
5.542553;-73.351344
5.533391;-73.367775
5.571748;-73.334133
5.524292;-73.433802
5.539734;-73.355398
5.520981;-73.360137
5.571572;-73.334703
4.578102;-74.216414
5.551069;-73.354251
5.560829;-73.346638
5.537299;-73.35888
10.989128;-74.802731
5.812501;-73.025161
5.537555;-73.358821
4.578346;-74.135729
4.577456;-74.21484
4.581851;-74.225481
4.581579;-74.215813
6.143172;-75.621343
4.594595;-74.184342
6.144943;-75.622072
10.972448;-74.796724
4.581552;-74.215766